epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
104,2346.77,0.77157,0.9025,0.00931,0.89479,0.73029,0.80756,0.67476,0.77014,0.89537,0.01081,0.0006404,0.0006404,0.0006404
105,2369.36,0.76106,0.87304,0.00917,0.89235,0.73381,0.81165,0.67872,0.75236,0.8918,0.01046,0.0006272,0.0006272,0.0006272
106,2391.91,0.76488,0.89605,0.00925,0.89545,0.73167,0.8095,0.68267,0.73849,0.88277,0.01023,0.000614,0.000614,0.000614
107,2414.54,0.75487,0.87085,0.00886,0.89107,0.73543,0.80057,0.67103,0.7553,0.90173,0.01049,0.0006008,0.0006008,0.0006008
108,2437.47,0.76422,0.87871,0.00928,0.90378,0.75354,0.80765,0.67929,0.75382,0.86104,0.0105,0.0005876,0.0005876,0.0005876
109,2460.78,0.76091,0.86599,0.00893,0.90962,0.71231,0.80206,0.67904,0.73852,0.92018,0.01024,0.0005744,0.0005744,0.0005744
110,2483.36,0.73891,0.86153,0.00889,0.92985,0.72061,0.80963,0.68444,0.73913,0.88488,0.01003,0.0005612,0.0005612,0.0005612
111,2506,0.75365,0.85963,0.00891,0.90879,0.73038,0.80332,0.68081,0.76552,0.88879,0.01075,0.000548,0.000548,0.000548
112,2528.55,0.7558,0.87764,0.00886,0.91026,0.72614,0.80923,0.68053,0.76238,0.86564,0.01064,0.0005348,0.0005348,0.0005348
113,2551.11,0.73834,0.83621,0.0086,0.91545,0.72337,0.80643,0.67794,0.76473,0.88703,0.0107,0.0005216,0.0005216,0.0005216
114,2573.61,0.75013,0.85977,0.00898,0.91014,0.74136,0.81344,0.68147,0.73822,0.88849,0.01012,0.0005084,0.0005084,0.0005084
115,2596.12,0.7409,0.83536,0.00874,0.9155,0.73582,0.80767,0.67961,0.75393,0.93701,0.01033,0.0004952,0.0004952,0.0004952
116,2618.69,0.73912,0.84466,0.00874,0.92337,0.7333,0.80936,0.68288,0.7398,0.8828,0.01024,0.000482,0.000482,0.000482
117,2641.46,0.72282,0.8201,0.00861,0.90413,0.74274,0.8138,0.68249,0.75712,0.87123,0.0105,0.0004688,0.0004688,0.0004688
118,2664.69,0.72967,0.82806,0.00855,0.88899,0.72891,0.80108,0.67377,0.74602,0.90995,0.0103,0.0004556,0.0004556,0.0004556
119,2687.15,0.72008,0.8118,0.0085,0.89343,0.74215,0.80608,0.68441,0.7305,0.88994,0.00994,0.0004424,0.0004424,0.0004424
120,2709.57,0.71503,0.81093,0.00855,0.9115,0.73029,0.8063,0.68076,0.74261,0.89464,0.01023,0.0004292,0.0004292,0.0004292
121,2732.06,0.7169,0.79589,0.00853,0.91282,0.73029,0.80969,0.68477,0.73867,0.86883,0.01021,0.000416,0.000416,0.000416
122,2754.53,0.72051,0.81093,0.00857,0.89939,0.73997,0.80625,0.68462,0.74299,0.89669,0.01025,0.0004028,0.0004028,0.0004028
123,2777.48,0.72008,0.79198,0.00847,0.90884,0.73997,0.81018,0.68604,0.73043,0.90717,0.01028,0.0003896,0.0003896,0.0003896
124,2800.98,0.72003,0.79893,0.00838,0.91733,0.73672,0.80928,0.68348,0.74244,0.88157,0.01047,0.0003764,0.0003764,0.0003764
125,2824.33,0.70127,0.77686,0.00852,0.9106,0.73444,0.81321,0.68832,0.721,0.89303,0.01004,0.0003632,0.0003632,0.0003632
126,2847.66,0.71759,0.79738,0.00842,0.91908,0.73834,0.81111,0.68564,0.73162,0.88118,0.01021,0.00035,0.00035,0.00035
127,2871.01,0.70539,0.78196,0.0083,0.90318,0.73541,0.80971,0.68539,0.72712,0.89634,0.01011,0.0003368,0.0003368,0.0003368
128,2894.28,0.69937,0.77147,0.0083,0.90387,0.75242,0.81367,0.68545,0.73425,0.88054,0.01021,0.0003236,0.0003236,0.0003236
129,2917.63,0.69755,0.78221,0.00812,0.91791,0.74136,0.81381,0.6837,0.73132,0.87656,0.01012,0.0003104,0.0003104,0.0003104
130,2940.91,0.71012,0.80082,0.00841,0.91038,0.74827,0.80969,0.68205,0.73493,0.86515,0.01022,0.0002972,0.0002972,0.0002972
131,2964.27,0.69733,0.77425,0.00828,0.8808,0.7621,0.81183,0.68015,0.73862,0.88829,0.01021,0.000284,0.000284,0.000284
132,2987.65,0.70231,0.76285,0.00823,0.91113,0.73859,0.80787,0.67894,0.73762,0.90265,0.01016,0.0002708,0.0002708,0.0002708
133,3011.01,0.69645,0.75841,0.00816,0.89012,0.75657,0.80861,0.68025,0.73617,0.90219,0.01011,0.0002576,0.0002576,0.0002576
134,3034.37,0.68666,0.76492,0.00815,0.9098,0.73938,0.80897,0.68101,0.75337,0.872,0.0103,0.0002444,0.0002444,0.0002444
135,3057.78,0.68099,0.76016,0.00799,0.876,0.75104,0.80761,0.68108,0.74296,0.88496,0.01016,0.0002312,0.0002312,0.0002312
136,3081.17,0.69475,0.75307,0.00806,0.88173,0.74412,0.80838,0.68113,0.73099,0.90613,0.00994,0.000218,0.000218,0.000218
137,3104.53,0.68389,0.75124,0.00814,0.89542,0.74609,0.80423,0.68126,0.74305,0.8887,0.01014,0.0002048,0.0002048,0.0002048
